Station Name,OTTAWA INTL A,http://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2011-12-14%7C2019-02-11&dlyRange=2011-12-15%7C2019-02-11&mlyRange=%7C&StationID=49568&Prov=ON&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=14&searchMethod=contains&Month=12&Day=12&txtStationName=ottawa&timeframe=2&Year=2018,,,,,,,,,,,,,,,,,,,,,,,,
03/08/2015,2015,8,3,,24.5,,14.7,,19.6,,0,,1.6,,2.6,,0,,2.6,,,,19,,44,
04/08/2015,2015,8,4,,25.4,,13.8,,19.6,,0,,1.6,,3.2,,0,,3.2,,,,26,,44,
05/08/2015,2015,8,5,,24.2,,11.9,,18.1,,0,,0.1,,0.2,,0,,0.2,,,,29,,52,
06/08/2015,2015,8,6,,24.1,,12.1,,18.1,,0,,0.1,,0,,0,,0,,,,26,,46,
07/08/2015,2015,8,7,,24.3,,11.5,,17.9,,0.1,,0,,0,,0,,0,,,,,,<31,
08/08/2015,2015,8,8,,24,,12.4,,18.2,,0,,0.2,,0,,0,,0,,,,,,<31,
09/08/2015,2015,8,9,,26.4,,11.7,,19.1,,0,,1.1,,0,,0,,0,,,,,,<31,
10/08/2015,2015,8,10,,28,,11.4,,19.7,,0,,1.7,,12.4,,0,,12.4,,,,,,<31,
11/08/2015,2015,8,11,,24.3,,17.4,,20.9,,0,,2.9,,29.4,,0,,29.4,,,,29,,41,
12/08/2015,2015,8,12,,21.3,,13.6,,17.5,,0.5,,0,,0,,0,,0,,,,28,,43,
13/08/2015,2015,8,13,,25.8,,12.7,,19.3,,0,,1.3,,0,,0,,0,,,,21,,32,
14/08/2015,2015,8,14,,26.1,,16.5,,21.3,,0,,3.3,,24.8,,0,,24.8,,,,,,<31,
15/08/2015,2015,8,15,,27.9,,19,,23.5,,0,,5.5,,0,,0,,0,,,,,,<31,
16/08/2015,2015,8,16,,31.2,,16.9,,24.1,,0,,6.1,,0,,0,,0,,,,20,,33,
17/08/2015,2015,8,17,,31.5,,18.8,,25.2,,0,,7.2,,0,,0,,0,,,,21,,43,
18/08/2015,2015,8,18,,31.4,,19.8,,25.6,,0,,7.6,,0.6,,0,,0.6,,,,1,,35,
19/08/2015,2015,8,19,,29.7,,19,,24.4,,0,,6.4,,1.4,,0,,1.4,,,,12,,32,
20/08/2015,2015,8,20,,28.2,,19.3,,23.8,,0,,5.8,,16.4,,0,,16.4,,,,16,,56,
21/08/2015,2015,8,21,,25.2,,14.9,,20.1,,0,,2.1,,0,,0,,0,,,,22,,32,
22/08/2015,2015,8,22,,25.6,,12.8,,19.2,,0,,1.2,,0,,0,,0,,,,,,<31,
23/08/2015,2015,8,23,,26.9,,13,,20,,0,,2,,0,,0,,0,,,,,,<31,
24/08/2015,2015,8,24,,25.3,,12.3,,18.8,,0,,0.8,,2,,0,,2,,,,18,,33,
25/08/2015,2015,8,25,,22.7,,13,,17.9,,0.1,,0,,0,,0,,0,,,,20,,33,
26/08/2015,2015,8,26,,22.2,,12.7,,17.5,,0.5,,0,,1.4,,0,,1.4,,,,27,,43,
27/08/2015,2015,8,27,,21.8,,11,,16.4,,1.6,,0,,0,,0,,0,,,,28,,32,
28/08/2015,2015,8,28,,22.3,,8.9,,15.6,,2.4,,0,,0,,0,,0,,,,,,<31,
29/08/2015,2015,8,29,,23.6,,11.5,,17.6,,0.4,,0,,0.8,,0,,0.8,,,,,,<31,
30/08/2015,2015,8,30,,25.6,,13.5,,19.6,,0,,1.6,,0,,0,,0,,,,,,<31,
31/08/2015,2015,8,31,,25.3,,14.3,,19.8,,0,,1.8,,0,,0,,0,,,,26,,41,
01/09/2015,2015,9,1,,28.3,,12.2,,20.3,,0,,2.3,,0,,0,,0,,,,,,<31,
02/09/2015,2015,9,2,,27.2,,17.4,,22.3,,0,,4.3,,,M,0,,,M,,,27,,33,
03/09/2015,2015,9,3,,28.6,,15.3,,22,,0,,4,,0,,0,,0,,,,1,,32,
04/09/2015,2015,9,4,,25.7,,11.7,,18.7,,0,,0.7,,0,,0,,0,,,,4,,32,
05/09/2015,2015,9,5,,28.5,,11.7,,20.1,,0,,2.1,,0,,0,,0,,,,,,<31,
06/09/2015,2015,9,6,,30.2,,16.6,,23.4,,0,,5.4,,,M,0,,,M,,,,,<31,
07/09/2015,2015,9,7,,32.1,,19.7,,25.9,,0,,7.9,,3,,0,,3,,,,29,,54,
08/09/2015,2015,9,8,,27.2,,19,,23.1,,0,,5.1,,0.2,,0,,0.2,,,,,,<31,
09/09/2015,2015,9,9,,24.7,,15.7,,20.2,,0,,2.2,,0.6,,0,,0.6,,,,27,,37,
10/09/2015,2015,9,10,,23.7,,11.6,,17.7,,0.3,,0,,0,,0,,0,,,,,,<31,
11/09/2015,2015,9,11,,25.5,,11.6,,18.6,,0,,0.6,,0.2,,0,,0.2,,,,28,,37,
12/09/2015,2015,9,12,,16,,12.7,,14.4,,3.6,,0,,25.4,,0,,25.4,,,,5,,43,
13/09/2015,2015,9,13,,19.8,,14.2,,17,,1,,0,,19.4,,0,,19.4,,,,7,,48,
14/09/2015,2015,9,14,,23.1,,13.2,,18.2,,0,,0.2,,1.4,,0,,1.4,,,,29,,43,
15/09/2015,2015,9,15,,27.2,,11.3,,19.3,,0,,1.3,,0,,0,,0,,,,,,<31,
16/09/2015,2015,9,16,,29.1,,13.8,,21.5,,0,,3.5,,0,,0,,0,,,,,,<31,
17/09/2015,2015,9,17,,28.2,,14.8,,21.5,,0,,3.5,,0,,0,,0,,,,23,,39,
18/09/2015,2015,9,18,,28.6,,13.7,,21.2,,0,,3.2,,0,,0,,0,,,,23,,39,
19/09/2015,2015,9,19,,24.8,,11.1,,18,,0,,0,,8.6,,0,,8.6,,,,30,,67,
20/09/2015,2015,9,20,,18.1,,7,,12.6,,5.4,,0,,0,,0,,0,,,,33,,43,
21/09/2015,2015,9,21,,20.8,,5.3,,13.1,,4.9,,0,,0,,0,,0,,,,,,<31,
22/09/2015,2015,9,22,,22.6,,7.4,,15,,3,,0,,0,,0,,0,,,,15,,32,
23/09/2015,2015,9,23,,23.7,,9.1,,16.4,,1.6,,0,,0,,0,,0,,,,31,,32,
24/09/2015,2015,9,24,,20.9,,9.7,,15.3,,2.7,,0,,,M,0,,,M,,,4,,32,
25/09/2015,2015,9,25,,16.8,,6.5,,11.7,,6.3,,0,,0,,0,,0,,,,,,<31,
26/09/2015,2015,9,26,,18.8,,3.8,,11.3,,6.7,,0,,0,,0,,0,,,,6,,32,
27/09/2015,2015,9,27,,23.1,,3.3,,13.2,,4.8,,0,,0,,0,,0,,,,21,,35,
28/09/2015,2015,9,28,,21,,15.3,,18.2,,0,,0.2,,,M,0,,,M,,,21,,41,
29/09/2015,2015,9,29,,22,,13.2,,17.6,,0.4,,0,,10.6,,0,,10.6,,,,32,,56,
30/09/2015,2015,9,30,,15.5,,5.1,,10.3,,7.7,,0,,0,,0,,0,,,,3,,44,
01/10/2015,2015,10,1,,14.9,,3.5,,9.2,,8.8,,0,,0,,0,,0,,,,1,,41,
02/10/2015,2015,10,2,,12.4,,3.4,,7.9,,10.1,,0,,0,,0,,0,,,,6,,50,
03/10/2015,2015,10,3,,13,,3.2,,8.1,,9.9,,0,,0,,0,,0,,,,5,,57,
04/10/2015,2015,10,4,,15.4,,4.9,,10.2,,7.8,,0,,0,,0,,0,,,,5,,37,
05/10/2015,2015,10,5,,15.8,,7.5,,11.7,,6.3,,0,,0,,0,,0,,,,,,<31,
06/10/2015,2015,10,6,,14.9,,8.6,,11.8,,6.2,,0,,0,,0,,0,,,,,,<31,
07/10/2015,2015,10,7,,18.4,,5.6,,12,,6,,0,,0,,0,,0,,,,31,,41,
08/10/2015,2015,10,8,,12.6,,1.3,,7,,11,,0,,0,T,0,,0,T,,,,,<31,
09/10/2015,2015,10,9,,8.8,,4.3,,6.6,,11.4,,0,,9.6,,0,,9.6,,,,32,,39,
10/10/2015,2015,10,10,,11.2,,0.4,,5.8,,12.2,,0,,0,,0,,0,,,,19,,32,
11/10/2015,2015,10,11,,19.5,,7,,13.3,,4.7,,0,,0,,0,,0,,,,23,,46,
12/10/2015,2015,10,12,,23.4,,11.4,,17.4,,0.6,,0,,0,,0,,0,,,,19,,39,
13/10/2015,2015,10,13,,17.1,,12,,14.6,,3.4,,0,,3.8,,0,,3.8,,,,22,,50,
14/10/2015,2015,10,14,,12.7,,-0.1,,6.3,,11.7,,0,,0,T,0,,0,T,,,31,,48,
15/10/2015,2015,10,15,,15,,-1.9,,6.6,,11.4,,0,,5,,0,,5,,,,26,,50,
16/10/2015,2015,10,16,,10.8,,4.1,,7.5,,10.5,,0,,6.4,,0,,6.4,,,,27,,35,
17/10/2015,2015,10,17,,6.2,,-4.8,,0.7,,17.3,,0,,0,,0,T,0,T,,,31,,41,
18/10/2015,2015,10,18,,2.6,,-7.1,,-2.3,,20.3,,0,,0,,0,T,0,T,,,32,,35,
19/10/2015,2015,10,19,,10.2,,-8,,1.1,,16.9,,0,,0,T,0,,0,T,,,19,,43,
20/10/2015,2015,10,20,,17,,6.9,,12,,6,,0,,0,,0,,0,,,,20,,44,
21/10/2015,2015,10,21,,11.7,,2.7,,7.2,,10.8,,0,,1.4,,0,,1.4,,,,,,<31,
22/10/2015,2015,10,22,,16.6,,2,,9.3,,8.7,,0,,3.8,,0,,3.8,,,,25,,52,
23/10/2015,2015,10,23,,8.5,,-1.9,,3.3,,14.7,,0,,0,,0,,0,,,,32,,43,
24/10/2015,2015,10,24,,10.1,,-2,,4.1,,13.9,,0,,10,,0,,10,,,,17,,35,
25/10/2015,2015,10,25,,11.9,,0.9,,6.4,,11.6,,0,,0.4,,0,,0.4,,,,29,,59,
26/10/2015,2015,10,26,,7.5,,-3.4,,2.1,,15.9,,0,,0,,0,,0,,,,29,,33,
27/10/2015,2015,10,27,,11.7,,-3.5,,4.1,,13.9,,0,,0,,0,,0,,,,,,<31,
28/10/2015,2015,10,28,,8.6,,0.8,,4.7,,13.3,,0,,31.6,,0,,31.6,,,,7,,54,
29/10/2015,2015,10,29,,13.3,,6.5,,9.9,,8.1,,0,,1.4,,0,,1.4,,,,22,,69,
30/10/2015,2015,10,30,,7.5,,-4.2,,1.7,,16.3,,0,,0,T,0,,0,T,,,29,,57,
31/10/2015,2015,10,31,,6.6,,-5.9,,0.4,,17.6,,0,,0.2,,0,,0.2,,,,,,<31,
01/11/2015,2015,11,1,,14.7,,4.2,,9.5,,8.5,,0,,3,,0,,3,,,,24,,63,
02/11/2015,2015,11,2,,12,,5.7,,8.9,,9.1,,0,,0,T,0,,0,T,,,,,<31,
03/11/2015,2015,11,3,,15.6,,3.7,,9.7,,8.3,,0,,0.2,,0,,0.2,,,,29,,35,
04/11/2015,2015,11,4,,15.8,,0.6,,8.2,,9.8,,0,,0,,0,,0,,,,,,<31,
05/11/2015,2015,11,5,,21.6,,3.8,,12.7,,5.3,,0,,0,,0,,0,,,,,,<31,
06/11/2015,2015,11,6,,19.3,,9.1,,14.2,,3.8,,0,,0.6,,0,,0.6,,,,21,,69,
07/11/2015,2015,11,7,,10.9,,0.7,,5.8,,12.2,,0,,0,,0,,0,,,,28,,43,
08/11/2015,2015,11,8,,8,,-3.4,,2.3,,15.7,,0,,0,,0,,0,,,,27,,37,
09/11/2015,2015,11,9,,12.5,,-1.1,,5.7,,12.3,,0,,0,,0,,0,,,,23,,39,
10/11/2015,2015,11,10,,10.8,,-5.1,,2.9,,15.1,,0,,0.2,,0,,0.2,,,,,,<31,
11/11/2015,2015,11,11,,10.4,,6.9,,8.7,,9.3,,0,,0.4,,0,,0.4,,,,,,<31,
12/11/2015,2015,11,12,,10.8,,7,,8.9,,9.1,,0,,14.2,,0,,14.2,,,,20,,48,
13/11/2015,2015,11,13,,8.3,,-0.8,,3.8,,14.2,,0,,9,,0,T,9,,,,31,,50,
14/11/2015,2015,11,14,,0.8,,-3.2,,-1.2,,19.2,,0,,0,,0,T,0,T,,,29,,50,
15/11/2015,2015,11,15,,7.5,,-1.5,,3,,15,,0,,0,,0,,0,,,,,,<31,
16/11/2015,2015,11,16,,7.6,,-4,,1.8,,16.2,,0,,0,,0,,0,,,,33,,35,
17/11/2015,2015,11,17,,5,,-6,,-0.5,,18.5,,0,,0,,0,,0,,,,,,<31,
18/11/2015,2015,11,18,,8.4,,-2.6,,2.9,,15.1,,0,,0,,0,,0,,,,11,,32,
19/11/2015,2015,11,19,,16.5,,7.9,,12.2,,5.8,,0,,5.8,,0,,5.8,,,,16,,54,
20/11/2015,2015,11,20,,8.4,,-1.4,,3.5,,14.5,,0,,0,,0,,0,,,,21,,43,
21/11/2015,2015,11,21,,4.9,,-3.5,,0.7,,17.3,,0,,0,,0,,0,,,,8,,41,
22/11/2015,2015,11,22,,6.4,,-4.3,,1.1,,16.9,,0,,0.6,,0,,0.6,,,,22,,70,
23/11/2015,2015,11,23,,0.7,,-8.7,,-4,,22,,0,,0,,0,T,0,T,,,32,,37,
24/11/2015,2015,11,24,,-2.2,,-8.3,,-5.3,,23.3,,0,,0,,0.6,,0.2,,0,,,,<31,
25/11/2015,2015,11,25,,1.9,,-8,,-3.1,,21.1,,0,,0,,0,,0,,,,,,<31,
26/11/2015,2015,11,26,,12.3,,-1.9,,5.2,,12.8,,0,,0,T,0,,0,T,,,20,,54,
27/11/2015,2015,11,27,,13.5,,-0.7,,6.4,,11.6,,0,,5.2,,0,T,5.6,,,,21,,63,
28/11/2015,2015,11,28,,-0.6,,-7.4,,-4,,22,,0,,0,,0,,0,,,,1,,32,
29/11/2015,2015,11,29,,-0.2,,-8.6,,-4.4,,22.4,,0,,0,,0,,0,,,,,,<31,
30/11/2015,2015,11,30,,-1.5,,-7.7,,-4.6,,22.6,,0,,0,,0,T,0,T,,,,,<31,
01/12/2015,2015,12,1,,0.6,,-8.8,,-4.1,,22.1,,0,,1.4,,0,,1.4,,,,7,,32,
02/12/2015,2015,12,2,,2.8,,0.1,,1.5,,16.5,,0,,2.8,,0,,2.8,,,,,,<31,
03/12/2015,2015,12,3,,4.3,,-0.5,,1.9,,16.1,,0,,0.2,,0,T,0.2,,,,28,,37,
04/12/2015,2015,12,4,,5.9,,0.2,,3.1,,14.9,,0,,0,,0,T,0,T,,,24,,35,
05/12/2015,2015,12,5,,8.2,,1.7,,5,,13,,0,,0,,0,,0,,,,22,,32,
06/12/2015,2015,12,6,,9,,-0.6,,4.2,,13.8,,0,,0,,0,,0,,,,21,,35,
07/12/2015,2015,12,7,,5.6,,-1.9,,1.9,,16.1,,0,,0,,0,,0,,,,,,<31,
08/12/2015,2015,12,8,,3.2,,-2.3,,0.5,,17.5,,0,,0,,0,,0,,,,,,<31,
09/12/2015,2015,12,9,,9.1,,0.6,,4.9,,13.1,,0,,0,,0,,0,,,,,,<31,
10/12/2015,2015,12,10,,11.1,,5.8,,8.5,,9.5,,0,,0.6,,0,,0.6,,,,19,,39,
11/12/2015,2015,12,11,,13.7,,7.4,,10.6,,7.4,,0,,1.2,,0,,1.2,,,,22,,59,
12/12/2015,2015,12,12,,8.1,,3.7,,5.9,,12.1,,0,,0,T,0,,0,T,,,,,<31,
13/12/2015,2015,12,13,,3.7,,-0.4,,1.7,,16.3,,0,,3.6,,0,,3.6,,,,8,,39,
14/12/2015,2015,12,14,,4,,0.3,,2.2,,15.8,,0,,10,,0,,10,,,,8,,41,
15/12/2015,2015,12,15,,8.8,,0.3,,4.6,,13.4,,0,,1,,0,,1,,,,28,,61,
16/12/2015,2015,12,16,,1.8,,-2.6,,-0.4,,18.4,,0,,0,,0,T,0,T,,,9,,41,
17/12/2015,2015,12,17,,7.1,,0.4,,3.8,,14.2,,0,,4.6,,0,,4.6,,,,25,,57,
18/12/2015,2015,12,18,,3.2,,-0.6,,1.3,,16.7,,0,,0,,0,,0,,,,,,<31,
19/12/2015,2015,12,19,,-0.6,,-4.7,,-2.7,,20.7,,0,,0,,0,T,0,T,0,,26,,50,
20/12/2015,2015,12,20,,-1.7,,-8.6,,-5.2,,23.2,,0,,0,,0,T,0,T,0,,32,,37,
21/12/2015,2015,12,21,,4.2,,-1.8,,1.2,,16.8,,0,,11.4,,0,,11.4,,,,,,<31,
22/12/2015,2015,12,22,,4,,2.3,,3.2,,14.8,,0,,2.6,,0,,2.6,,,,,,<31,
23/12/2015,2015,12,23,,8.1,,3,,5.6,,12.4,,0,,5.2,,0,,5.2,,,,8,,39,
24/12/2015,2015,12,24,,17,,3.1,,10.1,,7.9,,0,,0,,0,,0,,,,22,,87,
25/12/2015,2015,12,25,,8.3,,-2.5,,2.9,,15.1,,0,,0.2,,0,,0.2,,,,,,<31,
26/12/2015,2015,12,26,,3.4,,-5.5,,-1.1,,19.1,,0,,0.4,,0.4,,1.8,,0,,7,,35,
27/12/2015,2015,12,27,,-0.1,,-6,,-3.1,,21.1,,0,,4,,1.8,,7,,0,,34,,46,
28/12/2015,2015,12,28,,-6,,-11.4,,-8.7,,26.7,,0,,0,,0,T,0,T,0,T,7,,48,
29/12/2015,2015,12,29,,-7.5,,-12.2,,-9.9,,27.9,,0,,0,,20.2,,18.8,,7,,7,,59,
30/12/2015,2015,12,30,,-6.3,,-8.9,,-7.6,,25.6,,0,,0.6,,2.6,,2.6,,19,,,,<31,
31/12/2015,2015,12,31,,-1.1,,-6.3,,-3.7,,21.7,,0,,0,,0.4,,0.2,,20,,,,<31,
01/01/2016,2016,1,1,,-0.7,,-3.9,,-2.3,,20.3,,0,,,M,4.6,,2.2,,22,,23,,43,
02/01/2016,2016,1,2,,-0.9,,-6.9,,-3.9,,21.9,,0,,0,,0,T,0,T,22,,21,,44,
03/01/2016,2016,1,3,,-0.5,,-16.4,,-8.5,,26.5,,0,,0,,4.6,,2.8,,24,,32,,56,
04/01/2016,2016,1,4,,-14.3,,-19.9,,-17.1,,35.1,,0,,0,,0,,0,,26,,35,,39,
05/01/2016,2016,1,5,,-6.9,,-25.2,,-16.1,,34.1,,0,,0,,0,,0,,26,,,,<31,
06/01/2016,2016,1,6,,0.8,,-14,,-6.6,,24.6,,0,,0,,0,,0,,26,,,,<31,
07/01/2016,2016,1,7,,0.5,,-9.3,,-4.4,,22.4,,0,,0,,0,,0,,23,,,,<31,
08/01/2016,2016,1,8,,-1.9,,-9.1,,-5.5,,23.5,,0,,0,,0,,0,,22,,7,,33,
09/01/2016,2016,1,9,,3.9,,-2.2,,0.9,,17.1,,0,,2,,2.4,,3.6,,21,,,,<31,
10/01/2016,2016,1,10,,6.4,,-5.5,,0.5,,17.5,,0,,13.4,,1,,13.8,,15,,23,,78,
11/01/2016,2016,1,11,,-5.5,,-15.6,,-10.6,,28.6,,0,,0,,0,T,0,T,8,,26,,69,
12/01/2016,2016,1,12,,-3.3,,-15.3,,-9.3,,27.3,,0,,0,,8.2,,4.4,,8,,21,,57,
13/01/2016,2016,1,13,,-8.1,,-18.3,,-13.2,,31.2,,0,,0,,0,T,0,T,11,,27,,59,
14/01/2016,2016,1,14,,-6,,-15.8,,-10.9,,28.9,,0,,0,,2.8,,1.2,,13,,,,<31,
15/01/2016,2016,1,15,,-8,,-14.1,,-11.1,,29.1,,0,,0,,0,,0,,12,,7,,46,
16/01/2016,2016,1,16,,-3,,-10.2,,-6.6,,24.6,,0,,0,,5,,3.2,,12,,28,,32,
17/01/2016,2016,1,17,,-6.6,,-17.8,,-12.2,,30.2,,0,,,M,6.4,,2.8,,17,,,,<31,
18/01/2016,2016,1,18,,-6.9,,-17.3,,-12.1,,30.1,,0,,0,,3,,1.4,,24,,29,,52,
19/01/2016,2016,1,19,,-10.2,,-18,,-14.1,,32.1,,0,,0,,0.2,,0,T,24,,28,,56,
20/01/2016,2016,1,20,,-5.6,,-13.4,,-9.5,,27.5,,0,,0,,0,T,0,T,24,,31,,41,
21/01/2016,2016,1,21,,-7.5,,-17,,-12.3,,30.3,,0,,0,,0,T,0,T,24,,30,,35,
22/01/2016,2016,1,22,,-5.2,,-12.6,,-8.9,,26.9,,0,,0,,0,,0,,24,,,,<31,
23/01/2016,2016,1,23,,-7.9,,-16.6,,-12.3,,30.3,,0,,0,,0,,0,,23,,,,<31,
24/01/2016,2016,1,24,,-6.1,,-18,,-12.1,,30.1,,0,,0,,1.6,,0.8,,22,,,,<31,
25/01/2016,2016,1,25,,-0.5,,-7.8,,-4.2,,22.2,,0,,0,,0,,0,,20,,,,<31,
26/01/2016,2016,1,26,,5,,-6.3,,-0.7,,18.7,,0,,1.2,,1.8,,2.6,,18,,25,,59,
27/01/2016,2016,1,27,,-0.9,,-11.3,,-6.1,,24.1,,0,,0,,0,T,0,T,11,,32,,46,
28/01/2016,2016,1,28,,0.5,,-7.1,,-3.3,,21.3,,0,,,M,0.9,,0.2,,11,,18,,44,
29/01/2016,2016,1,29,,0.3,,-12.4,,-6.1,,24.1,,0,,0,,2.2,,1.2,,10,,29,,48,
30/01/2016,2016,1,30,,-5.1,,-11.8,,-8.5,,26.5,,0,,0,,0,T,0,T,12,,,,<31,
31/01/2016,2016,1,31,,5.8,,-5.2,,0.3,,17.7,,0,,3.6,,0,,3.6,,12,,,,<31,
01/02/2016,2016,2,1,,7,,-1.9,,2.6,,15.4,,0,,0.6,,0,,0.6,,8,,26,,61,
02/02/2016,2016,2,2,,-1.5,,-8.3,,-4.9,,22.9,,0,,0,,0.2,,0,T,3,,6,,48,
03/02/2016,2016,2,3,,7.9,,-5.2,,1.4,,16.6,,0,,7.4,,1.6,,9.4,,2,,10,,56,
04/02/2016,2016,2,4,,3.7,,-5,,-0.7,,18.7,,0,,0,,0,,0,,2,,27,,44,
05/02/2016,2016,2,5,,-2.5,,-8.7,,-5.6,,23.6,,0,,0,,0,T,0,T,2,,28,,33,
06/02/2016,2016,2,6,,2,,-4.7,,-1.4,,19.4,,0,,0,,0.4,,0.2,,2,,22,,44,
07/02/2016,2016,2,7,,0.4,,-9.2,,-4.4,,22.4,,0,,0,,0,T,0,T,2,,10,,41,
08/02/2016,2016,2,8,,-5.8,,-8.9,,-7.4,,25.4,,0,,0,,0,T,0,T,2,,6,,52,
09/02/2016,2016,2,9,,-5.7,,-9.1,,-7.4,,25.4,,0,,,M,4.6,,2,,4,,6,,37,
10/02/2016,2016,2,10,,-4.1,,-12.9,,-8.5,,26.5,,0,,0,,2.6,,2,,4,,27,,33,
11/02/2016,2016,2,11,,-12.8,,-21.6,,-17.2,,35.2,,0,,0,,1.2,,0.6,,5,,26,,44,
12/02/2016,2016,2,12,,-4.2,,-23,,-13.6,,31.6,,0,,0,,3,,1.2,,5,,33,,43,
13/02/2016,2016,2,13,,-17.1,,-28.9,,-23,,41,,0,,0,,0,,0,,8,,31,,54,
14/02/2016,2016,2,14,,-18.4,,-29.6,,-24,,42,,0,,0,,0,,0,,8,,26,,32,
15/02/2016,2016,2,15,,-9.4,,-26.3,,-17.9,,35.9,,0,,0,,0,T,0,T,8,,9,,37,
16/02/2016,2016,2,16,,-3.9,,-10.4,,-7.2,,25.2,,0,,0,,51.2,,33.8,,10,,29,,57,
17/02/2016,2016,2,17,,0.3,,-14.6,,-7.2,,25.2,,0,,0,,3,,2.2,,50,,29,,52,
18/02/2016,2016,2,18,,-8.6,,-20.5,,-14.6,,32.6,,0,,0,,0,,0,,52,,,,<31,
19/02/2016,2016,2,19,,0.5,,-22.4,,-11,,29,,0,,0,,3,,2.6,,51,,6,,41,
20/02/2016,2016,2,20,,4.8,,-0.5,,2.2,,15.8,,0,,4.4,,4,,6.2,,56,,22,,54,
21/02/2016,2016,2,21,,1.8,,-10.5,,-4.4,,22.4,,0,,0,,1.2,,0.8,,45,,31,,46,
22/02/2016,2016,2,22,,-8.3,,-16.7,,-12.5,,30.5,,0,,0,,0,,0,,43,,,,<31,
23/02/2016,2016,2,23,,-6.4,,-18,,-12.2,,30.2,,0,,0,,0,,0,,42,,6,,32,
24/02/2016,2016,2,24,,0.3,,-6.5,,-3.1,,21.1,,0,,13.2,,11,,21.4,,43,,6,,76,
25/02/2016,2016,2,25,,1.2,,-9.3,,-4.1,,22.1,,0,,2.4,,1,,3.6,,44,,31,,65,
26/02/2016,2016,2,26,,-9.2,,-15,,-12.1,,30.1,,0,,0,,0,,0,,38,,31,,61,
27/02/2016,2016,2,27,,2.3,,-15.2,,-6.5,,24.5,,0,,0,,0,T,0,T,38,,21,,67,
28/02/2016,2016,2,28,,2.2,,-8.7,,-3.3,,21.3,,0,,0,,2.8,,1.8,,37,,7,,43,
29/02/2016,2016,2,29,,1,,-13.6,,-6.3,,24.3,,0,,2.6,,0.6,,3.8,,39,,29,,82,
01/03/2016,2016,3,1,,-10.3,,-18.3,,-14.3,,32.3,,0,,0,,3,,1.6,,38,,6,,52,
02/03/2016,2016,3,2,,-7.8,,-15.9,,-11.9,,29.9,,0,,0,,7.4,,5.6,,46,,28,,54,
03/03/2016,2016,3,3,,-11.2,,-22.6,,-16.9,,34.9,,0,,0,,0,,0,,45,,,,<31,
04/03/2016,2016,3,4,,-4,,-21.3,,-12.7,,30.7,,0,,0,,0,,0,,45,,,,<31,
05/03/2016,2016,3,5,,-0.7,,-17.5,,-9.1,,27.1,,0,,0,,0,,0,,43,,,,<31,
06/03/2016,2016,3,6,,2.9,,-11.7,,-4.4,,22.4,,0,,0,,0,,0,,41,,19,,33,
07/03/2016,2016,3,7,,5.1,,-2.2,,1.5,,16.5,,0,,0,,1.4,,0.6,,37,,21,,43,
08/03/2016,2016,3,8,,5.5,,1.1,,3.3,,14.7,,0,,0.6,,0,,0.6,,33,,,,<31,
09/03/2016,2016,3,9,,11.5,,0.8,,6.2,,11.8,,0,,1.4,,0,,1.4,,28,,22,,37,
10/03/2016,2016,3,10,,7.7,,0.7,,4.2,,13.8,,0,,0.6,,0,,0.6,,18,,,,<31,
11/03/2016,2016,3,11,,3.4,,-2.6,,0.4,,17.6,,0,,0,,0,,0,,14,,32,,41,
12/03/2016,2016,3,12,,10.3,,-2.9,,3.7,,14.3,,0,,0,,0,,0,,11,,21,,44,
13/03/2016,2016,3,13,,8.4,,-0.1,,4.2,,13.8,,0,,0,,0,,0,,8,,6,,43,
14/03/2016,2016,3,14,,2.1,,-0.5,,0.8,,17.2,,0,,5.4,,0,,5.4,,4,,9,,44,
15/03/2016,2016,3,15,,4,,1.4,,2.7,,15.3,,0,,4.2,,0,,4.2,,2,,,,<31,
16/03/2016,2016,3,16,,8.1,,2.5,,5.3,,12.7,,0,,9,,0,,9,,0,,8,,50,
17/03/2016,2016,3,17,,10.6,,1.4,,6,,12,,0,,2.2,,0,,2.2,,0,,29,,44,
18/03/2016,2016,3,18,,2.2,,-5.9,,-1.9,,19.9,,0,,0,,0,T,0,T,0,,34,,43,
19/03/2016,2016,3,19,,0.3,,-10.1,,-4.9,,22.9,,0,,0,,0,,0,,0,,32,,41,
20/03/2016,2016,3,20,,2.2,,-10.5,,-4.2,,22.2,,0,,0,,0,,0,,0,,,,<31,
21/03/2016,2016,3,21,,5.5,,-9.3,,-1.9,,19.9,,0,,0,,0,T,0,T,0,,30,,46,
22/03/2016,2016,3,22,,5.6,,-8.7,,-1.6,,19.6,,0,,0,,2.6,,2.6,,0,,26,,44,
23/03/2016,2016,3,23,,3.5,,-2.4,,0.6,,17.4,,0,,0,,2.4,,1,,2,,34,,35,
24/03/2016,2016,3,24,,-2,,-7.2,,-4.6,,22.6,,0,,1.4,,4,,5.4,,0,,5,,63,
25/03/2016,2016,3,25,,-0.7,,-7,,-3.9,,21.9,,0,,1.2,,0.2,,1.4,,2,,29,,43,
26/03/2016,2016,3,26,,5.4,,-8.8,,-1.7,,19.7,,0,,0,,0,,0,,2,,,,<31,
27/03/2016,2016,3,27,,13.1,,-4.7,,4.2,,13.8,,0,,0,,0,,0,,1,,,,<31,
